STNAM,FIPST,LEAID,LEANM,DATE_CUR,ALL_MTH04NUMVALID_1415,ALL_MTH04PCTPROF_1415,ECD_MTH04NUMVALID_1415,ECD_MTH04PCTPROF_1415,HOM_MTH04NUMVALID_1415,HOM_MTH04PCTPROF_1415,ALL_MTH08NUMVALID_1415,ALL_MTH08PCTPROF_1415,ECD_MTH08NUMVALID_1415,ECD_MTH08PCTPROF_1415,HOM_MTH08NUMVALID_1415,HOM_MTH08PCTPROF_1415
TEXAS,48,4811550,BROOKESMITH ISD,13APR16,16.0,50.0,10.0,25.0,,,14.0,25.0,9.0,25.0,,
TEXAS,48,4811580,BROOKS COUNTY ISD,13APR16,111.0,57.0,102.0,57.0,6.0,25.0,122.0,57.0,94.0,57.0,5.0,
TEXAS,48,4811610,BROWNFIELD ISD,13APR16,123.0,32.0,103.0,27.0,3.0,,131.0,62.0,101.0,57.0,4.0,
TEXAS,48,4811640,BROWNSBORO ISD,13APR16,186.0,67.0,93.0,52.0,,,179.0,82.0,90.0,82.0,,
TEXAS,48,4811680,BROWNSVILLE ISD,13APR16,3444.0,75.0,3218.0,75.0,60.0,74.0,2671.0,60.0,2582.0,60.0,42.0,44.0
TEXAS,48,4811700,BROWNWOOD ISD,13APR16,286.0,67.0,193.0,62.0,1.0,,199.0,77.0,145.0,77.0,,
TEXAS,48,4811730,BRUCEVILLE-EDDY ISD,13APR16,47.0,54.0,27.0,50.0,1.0,,43.0,44.0,24.0,30.0,1.0,
TEXAS,48,4811790,BRYAN ISD,13APR16,1249.0,64.0,921.0,58.0,28.0,30.0,979.0,52.0,780.0,48.0,23.0,70.0
TEXAS,48,4811820,BRYSON ISD,13APR16,18.0,40.0,4.0,,,,21.0,70.0,11.0,25.0,,
TEXAS,48,4811850,BUCKHOLTS ISD,13APR16,17.0,10.0,16.0,10.0,,,11.0,25.0,9.0,25.0,,
TEXAS,48,4811910,BUENA VISTA ISD,13APR16,14.0,25.0,6.0,25.0,,,14.0,25.0,9.0,25.0,,
TEXAS,48,4811990,BUFFALO ISD,13APR16,85.0,67.0,59.0,64.0,,,61.0,62.0,46.0,64.0,,
TEXAS,48,4812060,BULLARD ISD,13APR16,180.0,82.0,54.0,74.0,1.0,,148.0,77.0,53.0,74.0,,
TEXAS,48,4812090,BUNA ISD,13APR16,108.0,57.0,49.0,54.0,,,101.0,72.0,41.0,64.0,,
TEXAS,48,4812120,BURKBURNETT ISD,13APR16,201.0,67.0,101.0,62.0,4.0,,201.0,72.0,107.0,57.0,,
TEXAS,48,4812150,BURKEVILLE ISD,13APR16,19.0,70.0,14.0,25.0,,,27.0,30.0,23.0,30.0,,
TEXAS,48,4812180,BURLESON ISD,13APR16,872.0,70.0,356.0,57.0,2.0,,818.0,83.0,294.0,77.0,1.0,
TEXAS,48,4812220,BURNET CISD,13APR16,243.0,62.0,146.0,57.0,1.0,,261.0,67.0,159.0,62.0,,
TEXAS,48,4812240,BURTON ISD,13APR16,28.0,70.0,18.0,70.0,,,16.0,70.0,12.0,25.0,1.0,
TEXAS,48,4812360,BYNUM ISD,13APR16,14.0,25.0,8.0,25.0,,,18.0,50.0,13.0,25.0,,
TEXAS,48,4812390,CADDO MILLS ISD,13APR16,132.0,87.0,51.0,45.0,1.0,,100.0,82.0,43.0,74.0,1.0,
