STNAM,FIPST,LEAID,leanm11,ALL_MTH04numvalid_1112,ALL_MTH04pctprof_1112,ECD_MTH04numvalid_1112,ECD_MTH04pctprof_1112,HOM_MTH04numvalid_1112,HOM_MTH04pctprof_1112,ALL_MTH08numvalid_1112,ALL_MTH08pctprof_1112,ECD_MTH08numvalid_1112,ECD_MTH08pctprof_1112,HOM_MTH08numvalid_1112,HOM_MTH08pctprof_1112
WASHINGTON,53,5303960,Kent School District,1994.0,54.0,1166.0,40.0,26.0,10.0,2075.0,58.0,1050.0,42.0,23.0,10.0
WASHINGTON,53,5303990,Kettle Falls School District,51.0,64.0,32.0,54.0,1.0,,43.0,54.0,26.0,70.0,1.0,
WASHINGTON,53,5304020,Kiona-Benton City School District,104.0,42.0,63.0,37.0,,,120.0,37.0,62.0,32.0,,
WASHINGTON,53,5304050,Kittitas School District,62.0,57.0,33.0,44.0,,,54.0,34.0,25.0,50.0,,
WASHINGTON,53,5304080,Klickitat School District,8.0,25.0,8.0,25.0,,,6.0,25.0,6.0,25.0,,
WASHINGTON,53,5304110,La Conner School District,46.0,44.0,24.0,30.0,1.0,,51.0,64.0,23.0,50.0,,
WASHINGTON,53,5304150,LaCrosse School District,5.0,,1.0,,,,8.0,25.0,2.0,,,
WASHINGTON,53,5304170,La Center School District,117.0,57.0,36.0,44.0,4.0,,126.0,52.0,36.0,44.0,,
WASHINGTON,53,5304200,Lake Stevens School District,580.0,68.0,216.0,52.0,8.0,25.0,644.0,65.0,200.0,52.0,7.0,25.0
WASHINGTON,53,5304230,Lake Washington School District,1968.0,81.0,310.0,49.0,14.0,25.0,1795.0,74.0,305.0,50.0,14.0,25.0
WASHINGTON,53,5304260,Lakewood School District,182.0,57.0,77.0,47.0,7.0,25.0,197.0,52.0,60.0,44.0,6.0,25.0
WASHINGTON,53,5304290,Lamont School District,,,,,,,7.0,25.0,5.0,,,
WASHINGTON,53,5304380,Liberty School District,32.0,64.0,13.0,25.0,,,34.0,54.0,16.0,50.0,,
WASHINGTON,53,5304410,Lind School District,9.0,25.0,6.0,25.0,,,16.0,30.0,8.0,25.0,,
WASHINGTON,53,5304470,Longview School District,487.0,42.0,301.0,30.0,10.0,25.0,483.0,47.0,251.0,32.0,11.0,25.0
WASHINGTON,53,5304500,Loon Lake School District,20.0,70.0,19.0,50.0,1.0,,,,,,,
WASHINGTON,53,5304530,Lopez School District,15.0,25.0,7.0,25.0,,,17.0,50.0,10.0,25.0,,
WASHINGTON,53,5304560,Riverview School District,240.0,62.0,47.0,34.0,3.0,,250.0,52.0,51.0,34.0,,
WASHINGTON,53,5304590,Lyle School District,20.0,70.0,20.0,70.0,,,28.0,50.0,28.0,50.0,7.0,25.0
