"Survey Component (SVY_COMP_LABEL)","Geographic Area Name (NAME)","Year (YEAR)","Aggregate Description (AGG_DESC)","Meaning of Aggregate Description (AGG_DESC_LABEL)","Type of Government (GOVTYPE_LABEL)","Amount Formatted (AMOUNT_FORMATTED)"
"Annual Survey of School System Finance","Hawaii","2016","SSPR","Elementary-secondary education school system State ranking for revenue from state sources per pupil","State and Local ","2"
"Annual Survey of School System Finance","Hawaii","2017","SSPR","Elementary-secondary education school system State ranking for revenue from state sources per pupil","State and Local ","2"
"Annual Survey of School System Finance","Hawaii","2018","SSPR","Elementary-secondary education school system State ranking for revenue from state sources per pupil","State and Local ","2"
"Annual Survey of School System Finance","Illinois","2017","CSIEBPR","Elementary-secondary education school system State ranking for current expenditures Instruction Employee benefits per pupil","State and Local ","2"
"Annual Survey of School System Finance","Maine","2012","CSSGAPR","Elementary-secondary education school system State ranking for current expenditures Support Services General administration per pupil","State and Local ","2"
"Annual Survey of School System Finance","New Hampshire","2018","CSSGAPR","Elementary-secondary education school system State ranking for current expenditures Support Services General administration per pupil","State and Local ","2"
"Annual Survey of School System Finance","New Jersey","2013","CSITPR","Elementary-secondary education school system State ranking for current expenditures Instruction Total per pupil","State and Local ","2"
"Annual Survey of School System Finance","New York","2015","CSIEBPR","Elementary-secondary education school system State ranking for current expenditures Instruction Employee benefits per pupil","State and Local ","2"
"Annual Survey of School System Finance","New York","2012","CSISWPR","Elementary-secondary education school system current expenditures Instruction Salaries and wages per pupil","State and Local ","2"
"Annual Survey of School System Finance","New York","2013","CSISWPR","Elementary-secondary education school system current expenditures Instruction Salaries and wages per pupil","State and Local ","2"
"Annual Survey of School System Finance","New York","2015","CSISWPR","Elementary-secondary education school system current expenditures Instruction Salaries and wages per pupil","State and Local ","2"
"Annual Survey of School System Finance","New York","2016","CSISWPR","Elementary-secondary education school system current expenditures Instruction Salaries and wages per pupil","State and Local ","2"
"Annual Survey of School System Finance","New York","2018","CSISWPR","Elementary-secondary education school system current expenditures Instruction Salaries and wages per pupil","State and Local ","2"
"Annual Survey of School System Finance","New York","2012","LSPR","Elementary-secondary education school system State ranking for revenue from local sources per pupil","State and Local ","2"
"Annual Survey of School System Finance","New York","2013","LSPR","Elementary-secondary education school system State ranking for revenue from local sources per pupil","State and Local ","2"
"Annual Survey of School System Finance","New York","2014","LSPR","Elementary-secondary education school system State ranking for revenue from local sources per pupil","State and Local ","2"
"Annual Survey of School System Finance","New York","2015","LSPR","Elementary-secondary education school system State ranking for revenue from local sources per pupil","State and Local ","2"
"Annual Survey of School System Finance","New York","2016","LSPR","Elementary-secondary education school system State ranking for revenue from local sources per pupil","State and Local ","2"
"Annual Survey of School System Finance","New York","2017","LSPR","Elementary-secondary education school system State ranking for revenue from local sources per pupil","State and Local ","2"
"Annual Survey of School System Finance","New York","2018","LSPR","Elementary-secondary education school system State ranking for revenue from local sources per pupil","State and Local ","2"
"Annual Survey of School System Finance","New York","2012","TOTREVPR","Elementary-secondary education school system State ranking for total revenue per pupil","State and Local ","2"
"Annual Survey of School System Finance","New York","2013","TOTREVPR","Elementary-secondary education school system State ranking for total revenue per pupil","State and Local ","2"
"Annual Survey of School System Finance","New York","2014","TOTREVPR","Elementary-secondary education school system State ranking for total revenue per pupil","State and Local ","2"
"Annual Survey of School System Finance","New York","2015","TOTREVPR","Elementary-secondary education school system State ranking for total revenue per pupil","State and Local ","2"
"Annual Survey of School System Finance","New York","2016","TOTREVPR","Elementary-secondary education school system State ranking for total revenue per pupil","State and Local ","2"
"Annual Survey of School System Finance","New York","2017","TOTREVPR","Elementary-secondary education school system State ranking for total revenue per pupil","State and Local ","2"
"Annual Survey of School System Finance","New York","2018","TOTREVPR","Elementary-secondary education school system State ranking for total revenue per pupil","State and Local ","2"
"Annual Survey of School System Finance","North Dakota","2013","CSSGAPR","Elementary-secondary education school system State ranking for current expenditures Support Services General administration per pupil","State and Local ","2"
"Annual Survey of School System Finance","North Dakota","2014","CSSGAPR","Elementary-secondary education school system State ranking for current expenditures Support Services General administration per pupil","State and Local ","2"
"Annual Survey of School System Finance","North Dakota","2015","CSSGAPR","Elementary-secondary education school system State ranking for current expenditures Support Services General administration per pupil","State and Local ","2"
"Annual Survey of School System Finance","North Dakota","2016","CSSGAPR","Elementary-secondary education school system State ranking for current expenditures Support Services General administration per pupil","State and Local ","2"
"Annual Survey of School System Finance","North Dakota","2017","CSSGAPR","Elementary-secondary education school system State ranking for current expenditures Support Services General administration per pupil","State and Local ","2"
"Annual Survey of School System Finance","Vermont","2012","CSSSAPR","Elementary-secondary education school system State ranking for current expenditures Support Services School administration per pupil","State and Local ","2"
"Annual Survey of School System Finance","Vermont","2013","CSSSAPR","Elementary-secondary education school system State ranking for current expenditures Support Services School administration per pupil","State and Local ","2"
"Annual Survey of School System Finance","Vermont","2014","CSSSAPR","Elementary-secondary education school system State ranking for current expenditures Support Services School administration per pupil","State and Local ","2"
"Annual Survey of School System Finance","Vermont","2015","CSSSAPR","Elementary-secondary education school system State ranking for current expenditures Support Services School administration per pupil","State and Local ","2"
"Annual Survey of School System Finance","Vermont","2016","CSSSAPR","Elementary-secondary education school system State ranking for current expenditures Support Services School administration per pupil","State and Local ","2"
"Annual Survey of School System Finance","Vermont","2017","CSSSAPR","Elementary-secondary education school system State ranking for current expenditures Support Services School administration per pupil","State and Local ","2"
"Annual Survey of School System Finance","Vermont","2018","CSSSAPR","Elementary-secondary education school system State ranking for current expenditures Support Services School administration per pupil","State and Local ","2"
"Annual Survey of School System Finance","Alaska","2012","CSPR","Elementary-secondary education school system State ranking for current expenditures Total per pupil","State and Local ","3"
"Annual Survey of School System Finance","Alaska","2014","CSPR","Elementary-secondary education school system State ranking for current expenditures Total per pupil","State and Local ","3"
"Annual Survey of School System Finance","Alaska","2012","CSSSAPR","Elementary-secondary education school system State ranking for current expenditures Support Services School administration per pupil","State and Local ","3"
"Annual Survey of School System Finance","Alaska","2013","CSSSAPR","Elementary-secondary education school system State ranking for current expenditures Support Services School administration per pupil","State and Local ","3"
"Annual Survey of School System Finance","Alaska","2014","CSSSAPR","Elementary-secondary education school system State ranking for current expenditures Support Services School administration per pupil","State and Local ","3"
"Annual Survey of School System Finance","Alaska","2015","CSSSAPR","Elementary-secondary education school system State ranking for current expenditures Support Services School administration per pupil","State and Local ","3"
"Annual Survey of School System Finance","Alaska","2012","SSPR","Elementary-secondary education school system State ranking for revenue from state sources per pupil","State and Local ","3"
"Annual Survey of School System Finance","Alaska","2018","SSPR","Elementary-secondary education school system State ranking for revenue from state sources per pupil","State and Local ","3"
"Annual Survey of School System Finance","Alaska","2015","TOTREVPR","Elementary-secondary education school system State ranking for total revenue per pupil","State and Local ","3"
"Annual Survey of School System Finance","Connecticut","2012","CSIEBPR","Elementary-secondary education school system State ranking for current expenditures Instruction Employee benefits per pupil","State and Local ","3"
"Annual Survey of School System Finance","Connecticut","2014","CSIEBPR","Elementary-secondary education school system State ranking for current expenditures Instruction Employee benefits per pupil","State and Local ","3"
"Annual Survey of School System Finance","Connecticut","2015","CSIEBPR","Elementary-secondary education school system State ranking for current expenditures Instruction Employee benefits per pupil","State and Local ","3"
"Annual Survey of School System Finance","Connecticut","2017","CSIEBPR","Elementary-secondary education school system State ranking for current expenditures Instruction Employee benefits per pupil","State and Local ","3"
"Annual Survey of School System Finance","Connecticut","2014","CSISWPR","Elementary-secondary education school system current expenditures Instruction Salaries and wages per pupil","State and Local ","3"
"Annual Survey of School System Finance","Connecticut","2015","CSISWPR","Elementary-secondary education school system current expenditures Instruction Salaries and wages per pupil","State and Local ","3"
"Annual Survey of School System Finance","Connecticut","2016","CSISWPR","Elementary-secondary education school system current expenditures Instruction Salaries and wages per pupil","State and Local ","3"
"Annual Survey of School System Finance","Connecticut","2017","CSISWPR","Elementary-secondary education school system current expenditures Instruction Salaries and wages per pupil","State and Local ","3"
"Annual Survey of School System Finance","Connecticut","2018","CSISWPR","Elementary-secondary education school system current expenditures Instruction Salaries and wages per pupil","State and Local ","3"
"Annual Survey of School System Finance","Connecticut","2012","CSITPR","Elementary-secondary education school system State ranking for current expenditures Instruction Total per pupil","State and Local ","3"
"Annual Survey of School System Finance","Connecticut","2015","CSITPR","Elementary-secondary education school system State ranking for current expenditures Instruction Total per pupil","State and Local ","3"
"Annual Survey of School System Finance","Connecticut","2016","CSITPR","Elementary-secondary education school system State ranking for current expenditures Instruction Total per pupil","State and Local ","3"
"Annual Survey of School System Finance","Connecticut","2017","CSITPR","Elementary-secondary education school system State ranking for current expenditures Instruction Total per pupil","State and Local ","3"
"Annual Survey of School System Finance","Connecticut","2018","CSITPR","Elementary-secondary education school system State ranking for current expenditures Instruction Total per pupil","State and Local ","3"
"Annual Survey of School System Finance","Connecticut","2016","CSPR","Elementary-secondary education school system State ranking for current expenditures Total per pupil","State and Local ","3"
"Annual Survey of School System Finance","Connecticut","2017","CSPR","Elementary-secondary education school system State ranking for current expenditures Total per pupil","State and Local ","3"
"Annual Survey of School System Finance","Connecticut","2018","CSPR","Elementary-secondary education school system State ranking for current expenditures Total per pupil","State and Local ","3"
"Annual Survey of School System Finance","Connecticut","2016","CSSSAPR","Elementary-secondary education school system State ranking for current expenditures Support Services School administration per pupil","State and Local ","3"
"Annual Survey of School System Finance","Connecticut","2017","CSSSAPR","Elementary-secondary education school system State ranking for current expenditures Support Services School administration per pupil","State and Local ","3"
"Annual Survey of School System Finance","Connecticut","2018","CSSSAPR","Elementary-secondary education school system State ranking for current expenditures Support Services School administration per pupil","State and Local ","3"
"Annual Survey of School System Finance","Connecticut","2013","LSPR","Elementary-secondary education school system State ranking for revenue from local sources per pupil","State and Local ","3"
"Annual Survey of School System Finance","Connecticut","2014","LSPR","Elementary-secondary education school system State ranking for revenue from local sources per pupil","State and Local ","3"
