"Survey Component (SVY_COMP_LABEL)","Geographic Area Name (NAME)","Year (YEAR)","Aggregate Description (AGG_DESC)","Meaning of Aggregate Description (AGG_DESC_LABEL)","Type of Government (GOVTYPE_LABEL)","Amount Formatted (AMOUNT_FORMATTED)"
"Annual Survey of School System Finance","Arizona","2016","SSSE","Elementary-secondary education school system revenue from state sources special education","State and Local ","0"
"Annual Survey of School System Finance","Arizona","2017","SSSE","Elementary-secondary education school system revenue from state sources special education","State and Local ","74"
"Annual Survey of School System Finance","Arizona","2018","SSSE","Elementary-secondary education school system revenue from state sources special education","State and Local ","88"
"Annual Survey of School System Finance","Arizona","2012","SSTP","Elementary-secondary education school system revenue from state sources transportation programs","State and Local ","0"
"Annual Survey of School System Finance","Arizona","2013","SSTP","Elementary-secondary education school system revenue from state sources transportation programs","State and Local ","0"
"Annual Survey of School System Finance","Arizona","2014","SSTP","Elementary-secondary education school system revenue from state sources transportation programs","State and Local ","0"
"Annual Survey of School System Finance","Arizona","2015","SSTP","Elementary-secondary education school system revenue from state sources transportation programs","State and Local ","0"
"Annual Survey of School System Finance","Arizona","2016","SSTP","Elementary-secondary education school system revenue from state sources transportation programs","State and Local ","0"
"Annual Survey of School System Finance","Arizona","2017","SSTP","Elementary-secondary education school system revenue from state sources transportation programs","State and Local ","0"
"Annual Survey of School System Finance","Arizona","2018","SSTP","Elementary-secondary education school system revenue from state sources transportation programs","State and Local ","0"
"Annual Survey of School System Finance","Arizona","2012","SSVP","Elementary-secondary education school system revenue from state sources vocational programs","State and Local ","9668"
"Annual Survey of School System Finance","Arizona","2013","SSVP","Elementary-secondary education school system revenue from state sources vocational programs","State and Local ","9474"
"Annual Survey of School System Finance","Arizona","2014","SSVP","Elementary-secondary education school system revenue from state sources vocational programs","State and Local ","9168"
"Annual Survey of School System Finance","Arizona","2015","SSVP","Elementary-secondary education school system revenue from state sources vocational programs","State and Local ","9135"
"Annual Survey of School System Finance","Arizona","2016","SSVP","Elementary-secondary education school system revenue from state sources vocational programs","State and Local ","8863"
"Annual Survey of School System Finance","Arizona","2017","SSVP","Elementary-secondary education school system revenue from state sources vocational programs","State and Local ","8951"
"Annual Survey of School System Finance","Arizona","2018","SSVP","Elementary-secondary education school system revenue from state sources vocational programs","State and Local ","9453"
"Annual Survey of School System Finance","Arkansas","2012","SS","Elementary-secondary education school system revenue from state sources","State and Local ","3823172"
"Annual Survey of School System Finance","Arkansas","2013","SS","Elementary-secondary education school system revenue from state sources","State and Local ","3847045"
"Annual Survey of School System Finance","Arkansas","2014","SS","Elementary-secondary education school system revenue from state sources","State and Local ","4006889"
"Annual Survey of School System Finance","Arkansas","2015","SS","Elementary-secondary education school system revenue from state sources","State and Local ","4075118"
"Annual Survey of School System Finance","Arkansas","2016","SS","Elementary-secondary education school system revenue from state sources","State and Local ","4122377"
"Annual Survey of School System Finance","Arkansas","2017","SS","Elementary-secondary education school system revenue from state sources","State and Local ","4137903"
