"Survey Component (SVY_COMP_LABEL)","Geographic Area Name (NAME)","Year (YEAR)","Aggregate Description (AGG_DESC)","Meaning of Aggregate Description (AGG_DESC_LABEL)","Type of Government (GOVTYPE_LABEL)","Amount Formatted (AMOUNT_FORMATTED)"
"Annual Survey of School System Finance","Alaska","2017","CO","Elementary-secondary education school system total expenditure capital outlay","State and Local ","169578"
"Annual Survey of School System Finance","Alaska","2018","CO","Elementary-secondary education school system total expenditure capital outlay","State and Local ","134123"
"Annual Survey of School System Finance","Alaska","2012","CS","Elementary-secondary education school system total current expenditures","State and Local ","2285517"
"Annual Survey of School System Finance","Alaska","2013","CS","Elementary-secondary education school system total current expenditures","State and Local ","2394256"
"Annual Survey of School System Finance","Alaska","2014","CS","Elementary-secondary education school system total current expenditures","State and Local ","2415614"
"Annual Survey of School System Finance","Alaska","2015","CS","Elementary-secondary education school system total current expenditures","State and Local ","2646225"
"Annual Survey of School System Finance","Alaska","2016","CS","Elementary-secondary education school system total current expenditures","State and Local ","2327151"
"Annual Survey of School System Finance","Alaska","2017","CS","Elementary-secondary education school system total current expenditures","State and Local ","2375700"
"Annual Survey of School System Finance","Alaska","2018","CS","Elementary-secondary education school system total current expenditures","State and Local ","2362970"
"Annual Survey of School System Finance","Alaska","2012","DBTOUT","Elementary-secondary education school system debt outstanding","State and Local ","1076477"
"Annual Survey of School System Finance","Alaska","2013","DBTOUT","Elementary-secondary education school system debt outstanding","State and Local ","1321403"
"Annual Survey of School System Finance","Alaska","2014","DBTOUT","Elementary-secondary education school system debt outstanding","State and Local ","1272709"
"Annual Survey of School System Finance","Alaska","2015","DBTOUT","Elementary-secondary education school system debt outstanding","State and Local ","1362195"
"Annual Survey of School System Finance","Alaska","2016","DBTOUT","Elementary-secondary education school system debt outstanding","State and Local ","1372527"
"Annual Survey of School System Finance","Alaska","2017","DBTOUT","Elementary-secondary education school system debt outstanding","State and Local ","1319426"
"Annual Survey of School System Finance","Alaska","2018","DBTOUT","Elementary-secondary education school system debt outstanding","State and Local ","1220000"
"Annual Survey of School System Finance","Alaska","2012","FS","Elementary-secondary education school system revenue from Federal sources","State and Local ","352005"
"Annual Survey of School System Finance","Alaska","2013","FS","Elementary-secondary education school system revenue from Federal sources","State and Local ","320938"
"Annual Survey of School System Finance","Alaska","2014","FS","Elementary-secondary education school system revenue from Federal sources","State and Local ","309525"
"Annual Survey of School System Finance","Alaska","2015","FS","Elementary-secondary education school system revenue from Federal sources","State and Local ","344111"
"Annual Survey of School System Finance","Alaska","2016","FS","Elementary-secondary education school system revenue from Federal sources","State and Local ","307320"
"Annual Survey of School System Finance","Alaska","2017","FS","Elementary-secondary education school system revenue from Federal sources","State and Local ","350204"
"Annual Survey of School System Finance","Alaska","2018","FS","Elementary-secondary education school system revenue from Federal sources","State and Local ","398105"
"Annual Survey of School System Finance","Alaska","2012","LS","Elementary-secondary education school system revenue from local sources","State and Local ","523484"
"Annual Survey of School System Finance","Alaska","2013","LS","Elementary-secondary education school system revenue from local sources","State and Local ","516689"
"Annual Survey of School System Finance","Alaska","2014","LS","Elementary-secondary education school system revenue from local sources","State and Local ","529590"
"Annual Survey of School System Finance","Alaska","2015","LS","Elementary-secondary education school system revenue from local sources","State and Local ","550200"
"Annual Survey of School System Finance","Alaska","2016","LS","Elementary-secondary education school system revenue from local sources","State and Local ","573685"
"Annual Survey of School System Finance","Alaska","2017","LS","Elementary-secondary education school system revenue from local sources","State and Local ","553757"
"Annual Survey of School System Finance","Alaska","2018","LS","Elementary-secondary education school system revenue from local sources","State and Local ","549260"
"Annual Survey of School System Finance","Alaska","2012","O","Elementary-secondary education school system total expenditure other","State and Local ","52584"
"Annual Survey of School System Finance","Alaska","2013","O","Elementary-secondary education school system total expenditure other","State and Local ","23172"
"Annual Survey of School System Finance","Alaska","2014","O","Elementary-secondary education school system total expenditure other","State and Local ","42335"
"Annual Survey of School System Finance","Alaska","2015","O","Elementary-secondary education school system total expenditure other","State and Local ","40202"
"Annual Survey of School System Finance","Alaska","2016","O","Elementary-secondary education school system total expenditure other","State and Local ","40822"
"Annual Survey of School System Finance","Alaska","2017","O","Elementary-secondary education school system total expenditure other","State and Local ","41782"
"Annual Survey of School System Finance","Alaska","2018","O","Elementary-secondary education school system total expenditure other","State and Local ","42395"
"Annual Survey of School System Finance","Alaska","2012","SS","Elementary-secondary education school system revenue from state sources","State and Local ","1507913"
"Annual Survey of School System Finance","Alaska","2013","SS","Elementary-secondary education school system revenue from state sources","State and Local ","1707449"
"Annual Survey of School System Finance","Alaska","2014","SS","Elementary-secondary education school system revenue from state sources","State and Local ","1824373"
"Annual Survey of School System Finance","Alaska","2015","SS","Elementary-secondary education school system revenue from state sources","State and Local ","2026555"
"Annual Survey of School System Finance","Alaska","2016","SS","Elementary-secondary education school system revenue from state sources","State and Local ","1613675"
"Annual Survey of School System Finance","Alaska","2017","SS","Elementary-secondary education school system revenue from state sources","State and Local ","1600503"
"Annual Survey of School System Finance","Alaska","2018","SS","Elementary-secondary education school system revenue from state sources","State and Local ","1579468"
"Annual Survey of School System Finance","Alaska","2012","TOTEXP","Elementary-secondary education school system total expenditure","State and Local ","2483320"
"Annual Survey of School System Finance","Alaska","2013","TOTEXP","Elementary-secondary education school system total expenditure","State and Local ","2665933"
"Annual Survey of School System Finance","Alaska","2014","TOTEXP","Elementary-secondary education school system total expenditure","State and Local ","2727056"
"Annual Survey of School System Finance","Alaska","2015","TOTEXP","Elementary-secondary education school system total expenditure","State and Local ","2968341"
"Annual Survey of School System Finance","Alaska","2016","TOTEXP","Elementary-secondary education school system total expenditure","State and Local ","2623014"
"Annual Survey of School System Finance","Alaska","2017","TOTEXP","Elementary-secondary education school system total expenditure","State and Local ","2587060"
"Annual Survey of School System Finance","Alaska","2018","TOTEXP","Elementary-secondary education school system total expenditure","State and Local ","2539488"
"Annual Survey of School System Finance","Alaska","2012","TOTREV","Elementary-secondary education school system total revenue","State and Local ","2383402"
"Annual Survey of School System Finance","Alaska","2013","TOTREV","Elementary-secondary education school system total revenue","State and Local ","2545076"
"Annual Survey of School System Finance","Alaska","2014","TOTREV","Elementary-secondary education school system total revenue","State and Local ","2663488"
"Annual Survey of School System Finance","Alaska","2015","TOTREV","Elementary-secondary education school system total revenue","State and Local ","2920866"
"Annual Survey of School System Finance","Alaska","2016","TOTREV","Elementary-secondary education school system total revenue","State and Local ","2494680"
"Annual Survey of School System Finance","Alaska","2017","TOTREV","Elementary-secondary education school system total revenue","State and Local ","2504464"
"Annual Survey of School System Finance","Alaska","2018","TOTREV","Elementary-secondary education school system total revenue","State and Local ","2526833"
"Annual Survey of School System Finance","Arizona","2012","CASHSEC","Elementary-secondary education school system cash and security holdings","State and Local ","2761484"
"Annual Survey of School System Finance","Arizona","2013","CASHSEC","Elementary-secondary education school system cash and security holdings","State and Local ","2635960"
"Annual Survey of School System Finance","Arizona","2014","CASHSEC","Elementary-secondary education school system cash and security holdings","State and Local ","2589938"
"Annual Survey of School System Finance","Arizona","2015","CASHSEC","Elementary-secondary education school system cash and security holdings","State and Local ","2737810"
"Annual Survey of School System Finance","Arizona","2016","CASHSEC","Elementary-secondary education school system cash and security holdings","State and Local ","2749878"
"Annual Survey of School System Finance","Arizona","2017","CASHSEC","Elementary-secondary education school system cash and security holdings","State and Local ","2959640"
"Annual Survey of School System Finance","Arizona","2018","CASHSEC","Elementary-secondary education school system cash and security holdings","State and Local ","3080232"
"Annual Survey of School System Finance","Arizona","2012","CO","Elementary-secondary education school system total expenditure capital outlay","State and Local ","699033"
"Annual Survey of School System Finance","Arizona","2013","CO","Elementary-secondary education school system total expenditure capital outlay","State and Local ","558466"
"Annual Survey of School System Finance","Arizona","2014","CO","Elementary-secondary education school system total expenditure capital outlay","State and Local ","678228"
"Annual Survey of School System Finance","Arizona","2015","CO","Elementary-secondary education school system total expenditure capital outlay","State and Local ","497662"
"Annual Survey of School System Finance","Arizona","2016","CO","Elementary-secondary education school system total expenditure capital outlay","State and Local ","528694"
"Annual Survey of School System Finance","Arizona","2017","CO","Elementary-secondary education school system total expenditure capital outlay","State and Local ","573572"
"Annual Survey of School System Finance","Arizona","2018","CO","Elementary-secondary education school system total expenditure capital outlay","State and Local ","747678"
"Annual Survey of School System Finance","Arizona","2012","CS","Elementary-secondary education school system total current expenditures","State and Local ","7135021"
"Annual Survey of School System Finance","Arizona","2013","CS","Elementary-secondary education school system total current expenditures","State and Local ","6836563"
"Annual Survey of School System Finance","Arizona","2014","CS","Elementary-secondary education school system total current expenditures","State and Local ","7221984"
"Annual Survey of School System Finance","Arizona","2015","CS","Elementary-secondary education school system total current expenditures","State and Local ","7205417"
"Annual Survey of School System Finance","Arizona","2016","CS","Elementary-secondary education school system total current expenditures","State and Local ","7276067"
"Annual Survey of School System Finance","Arizona","2017","CS","Elementary-secondary education school system total current expenditures","State and Local ","7631469"
"Annual Survey of School System Finance","Arizona","2018","CS","Elementary-secondary education school system total current expenditures","State and Local ","7713512"
"Annual Survey of School System Finance","Arizona","2012","DBTOUT","Elementary-secondary education school system debt outstanding","State and Local ","4161223"
"Annual Survey of School System Finance","Arizona","2013","DBTOUT","Elementary-secondary education school system debt outstanding","State and Local ","4268976"
"Annual Survey of School System Finance","Arizona","2014","DBTOUT","Elementary-secondary education school system debt outstanding","State and Local ","4457686"
"Annual Survey of School System Finance","Arizona","2015","DBTOUT","Elementary-secondary education school system debt outstanding","State and Local ","4976311"
"Annual Survey of School System Finance","Arizona","2016","DBTOUT","Elementary-secondary education school system debt outstanding","State and Local ","5041714"
