"Survey Component (SVY_COMP_LABEL)","Geographic Area Name (NAME)","Year (YEAR)","Aggregate Description (AGG_DESC)","Meaning of Aggregate Description (AGG_DESC_LABEL)","Type of Government (GOVTYPE_LABEL)","Amount Formatted (AMOUNT_FORMATTED)"
"Annual Survey of School System Finance","Alaska","2016","LSNLG","Elementary-secondary education school system revenue from local sources Nonschool local government","State and Local ","0"
"Annual Survey of School System Finance","Alaska","2017","LSNLG","Elementary-secondary education school system revenue from local sources Nonschool local government","State and Local ","0"
"Annual Survey of School System Finance","Alaska","2018","LSNLG","Elementary-secondary education school system revenue from local sources Nonschool local government","State and Local ","0"
"Annual Survey of School System Finance","Alaska","2012","LSOC","Elementary-secondary education school system revenue from local sources Charges","State and Local ","19476"
"Annual Survey of School System Finance","Alaska","2013","LSOC","Elementary-secondary education school system revenue from local sources Charges","State and Local ","18871"
"Annual Survey of School System Finance","Alaska","2014","LSOC","Elementary-secondary education school system revenue from local sources Charges","State and Local ","20259"
"Annual Survey of School System Finance","Alaska","2015","LSOC","Elementary-secondary education school system revenue from local sources Charges","State and Local ","21140"
"Annual Survey of School System Finance","Alaska","2016","LSOC","Elementary-secondary education school system revenue from local sources Charges","State and Local ","20793"
"Annual Survey of School System Finance","Alaska","2017","LSOC","Elementary-secondary education school system revenue from local sources Charges","State and Local ","20941"
"Annual Survey of School System Finance","Alaska","2018","LSOC","Elementary-secondary education school system revenue from local sources Charges","State and Local ","20236"
"Annual Survey of School System Finance","Alaska","2012","LSOLR","Elementary-secondary education school system revenue from local sources Other local revenue","State and Local ","31529"
"Annual Survey of School System Finance","Alaska","2013","LSOLR","Elementary-secondary education school system revenue from local sources Other local revenue","State and Local ","23957"
"Annual Survey of School System Finance","Alaska","2014","LSOLR","Elementary-secondary education school system revenue from local sources Other local revenue","State and Local ","43496"
"Annual Survey of School System Finance","Alaska","2015","LSOLR","Elementary-secondary education school system revenue from local sources Other local revenue","State and Local ","38252"
"Annual Survey of School System Finance","Alaska","2016","LSOLR","Elementary-secondary education school system revenue from local sources Other local revenue","State and Local ","55739"
"Annual Survey of School System Finance","Alaska","2017","LSOLR","Elementary-secondary education school system revenue from local sources Other local revenue","State and Local ","28382"
"Annual Survey of School System Finance","Alaska","2018","LSOLR","Elementary-secondary education school system revenue from local sources Other local revenue","State and Local ","23413"
"Annual Survey of School System Finance","Alaska","2012","LSOT","Elementary-secondary education school system revenue from local sources Other taxes","State and Local ","X"
"Annual Survey of School System Finance","Alaska","2013","LSOT","Elementary-secondary education school system revenue from local sources Other taxes","State and Local ","X"
"Annual Survey of School System Finance","Alaska","2014","LSOT","Elementary-secondary education school system revenue from local sources Other taxes","State and Local ","X"
"Annual Survey of School System Finance","Alaska","2015","LSOT","Elementary-secondary education school system revenue from local sources Other taxes","State and Local ","X"
"Annual Survey of School System Finance","Alaska","2016","LSOT","Elementary-secondary education school system revenue from local sources Other taxes","State and Local ","X"
"Annual Survey of School System Finance","Alaska","2017","LSOT","Elementary-secondary education school system revenue from local sources Other taxes","State and Local ","X"
"Annual Survey of School System Finance","Alaska","2018","LSOT","Elementary-secondary education school system revenue from local sources Other taxes","State and Local ","X"
"Annual Survey of School System Finance","Alaska","2012","LSPGC","Elementary-secondary education school system revenue from local sources Parent government contributions","State and Local ","461845"
"Annual Survey of School System Finance","Alaska","2013","LSPGC","Elementary-secondary education school system revenue from local sources Parent government contributions","State and Local ","463921"
"Annual Survey of School System Finance","Alaska","2014","LSPGC","Elementary-secondary education school system revenue from local sources Parent government contributions","State and Local ","456688"
"Annual Survey of School System Finance","Alaska","2015","LSPGC","Elementary-secondary education school system revenue from local sources Parent government contributions","State and Local ","482458"
"Annual Survey of School System Finance","Alaska","2016","LSPGC","Elementary-secondary education school system revenue from local sources Parent government contributions","State and Local ","488678"
"Annual Survey of School System Finance","Alaska","2017","LSPGC","Elementary-secondary education school system revenue from local sources Parent government contributions","State and Local ","496001"
"Annual Survey of School System Finance","Alaska","2018","LSPGC","Elementary-secondary education school system revenue from local sources Parent government contributions","State and Local ","496795"
"Annual Survey of School System Finance","Alaska","2012","LSPT","Elementary-secondary education school system revenue from local sources Property taxes","State and Local ","X"
"Annual Survey of School System Finance","Alaska","2013","LSPT","Elementary-secondary education school system revenue from local sources Property taxes","State and Local ","X"
"Annual Survey of School System Finance","Alaska","2014","LSPT","Elementary-secondary education school system revenue from local sources Property taxes","State and Local ","X"
"Annual Survey of School System Finance","Alaska","2015","LSPT","Elementary-secondary education school system revenue from local sources Property taxes","State and Local ","X"
"Annual Survey of School System Finance","Alaska","2016","LSPT","Elementary-secondary education school system revenue from local sources Property taxes","State and Local ","X"
"Annual Survey of School System Finance","Alaska","2017","LSPT","Elementary-secondary education school system revenue from local sources Property taxes","State and Local ","X"
"Annual Survey of School System Finance","Alaska","2018","LSPT","Elementary-secondary education school system revenue from local sources Property taxes","State and Local ","X"
"Annual Survey of School System Finance","Alaska","2012","LSSLC","Elementary-secondary education school system revenue from local sources School lunch charges","State and Local ","10634"
"Annual Survey of School System Finance","Alaska","2013","LSSLC","Elementary-secondary education school system revenue from local sources School lunch charges","State and Local ","9768"
"Annual Survey of School System Finance","Alaska","2014","LSSLC","Elementary-secondary education school system revenue from local sources School lunch charges","State and Local ","8930"
"Annual Survey of School System Finance","Alaska","2015","LSSLC","Elementary-secondary education school system revenue from local sources School lunch charges","State and Local ","8092"
"Annual Survey of School System Finance","Alaska","2016","LSSLC","Elementary-secondary education school system revenue from local sources School lunch charges","State and Local ","8116"
"Annual Survey of School System Finance","Alaska","2017","LSSLC","Elementary-secondary education school system revenue from local sources School lunch charges","State and Local ","8030"
"Annual Survey of School System Finance","Alaska","2018","LSSLC","Elementary-secondary education school system revenue from local sources School lunch charges","State and Local ","7846"
"Annual Survey of School System Finance","Alaska","2012","LSTTC","Elementary-secondary education school system revenue from local sources Tuition and transportation charges","State and Local ","0"
"Annual Survey of School System Finance","Alaska","2013","LSTTC","Elementary-secondary education school system revenue from local sources Tuition and transportation charges","State and Local ","172"
"Annual Survey of School System Finance","Alaska","2014","LSTTC","Elementary-secondary education school system revenue from local sources Tuition and transportation charges","State and Local ","217"
"Annual Survey of School System Finance","Alaska","2015","LSTTC","Elementary-secondary education school system revenue from local sources Tuition and transportation charges","State and Local ","258"
