"Survey Component (SVY_COMP_LABEL)","Geographic Area Name (NAME)","Year (YEAR)","Aggregate Description (AGG_DESC)","Meaning of Aggregate Description (AGG_DESC_LABEL)","Type of Government (GOVTYPE_LABEL)","Amount Formatted (AMOUNT_FORMATTED)"
"Annual Survey of School System Finance","Alabama","2015","FSDSTOT","Elementary-secondary education school system revenue from Federal sources - distributed through state total","State and Local ","778269"
"Annual Survey of School System Finance","Alabama","2016","FSDSTOT","Elementary-secondary education school system revenue from Federal sources - distributed through state total","State and Local ","787615"
"Annual Survey of School System Finance","Alabama","2017","FSDSTOT","Elementary-secondary education school system revenue from Federal sources - distributed through state total","State and Local ","794112"
"Annual Survey of School System Finance","Alabama","2018","FSDSTOT","Elementary-secondary education school system revenue from Federal sources - distributed through state total","State and Local ","823640"
"Annual Survey of School System Finance","Alabama","2012","FSDSV","Elementary-secondary education school system revenue from Federal sources - distributed through state vocational","State and Local ","12768"
"Annual Survey of School System Finance","Alabama","2013","FSDSV","Elementary-secondary education school system revenue from Federal sources - distributed through state vocational","State and Local ","11209"
"Annual Survey of School System Finance","Alabama","2014","FSDSV","Elementary-secondary education school system revenue from Federal sources - distributed through state vocational","State and Local ","11513"
"Annual Survey of School System Finance","Alabama","2015","FSDSV","Elementary-secondary education school system revenue from Federal sources - distributed through state vocational","State and Local ","11382"
"Annual Survey of School System Finance","Alabama","2016","FSDSV","Elementary-secondary education school system revenue from Federal sources - distributed through state vocational","State and Local ","11414"
"Annual Survey of School System Finance","Alabama","2017","FSDSV","Elementary-secondary education school system revenue from Federal sources - distributed through state vocational","State and Local ","11751"
"Annual Survey of School System Finance","Alabama","2018","FSDSV","Elementary-secondary education school system revenue from Federal sources - distributed through state vocational","State and Local ","11937"
"Annual Survey of School System Finance","Alaska","2012","FS","Elementary-secondary education school system revenue from Federal sources","State and Local ","352005"
"Annual Survey of School System Finance","Alaska","2013","FS","Elementary-secondary education school system revenue from Federal sources","State and Local ","320938"
"Annual Survey of School System Finance","Alaska","2014","FS","Elementary-secondary education school system revenue from Federal sources","State and Local ","309525"
"Annual Survey of School System Finance","Alaska","2015","FS","Elementary-secondary education school system revenue from Federal sources","State and Local ","344111"
"Annual Survey of School System Finance","Alaska","2016","FS","Elementary-secondary education school system revenue from Federal sources","State and Local ","307320"
"Annual Survey of School System Finance","Alaska","2017","FS","Elementary-secondary education school system revenue from Federal sources","State and Local ","350204"
"Annual Survey of School System Finance","Alaska","2018","FS","Elementary-secondary education school system revenue from Federal sources","State and Local ","398105"
"Annual Survey of School System Finance","Alaska","2012","FSDFAIA","Elementary-secondary education school system revenue from Federal sources - direct federal aid impact aid","State and Local ","131643"
"Annual Survey of School System Finance","Alaska","2013","FSDFAIA","Elementary-secondary education school system revenue from Federal sources - direct federal aid impact aid","State and Local ","132748"
"Annual Survey of School System Finance","Alaska","2014","FSDFAIA","Elementary-secondary education school system revenue from Federal sources - direct federal aid impact aid","State and Local ","129024"
"Annual Survey of School System Finance","Alaska","2015","FSDFAIA","Elementary-secondary education school system revenue from Federal sources - direct federal aid impact aid","State and Local ","154994"
"Annual Survey of School System Finance","Alaska","2016","FSDFAIA","Elementary-secondary education school system revenue from Federal sources - direct federal aid impact aid","State and Local ","107308"
"Annual Survey of School System Finance","Alaska","2017","FSDFAIA","Elementary-secondary education school system revenue from Federal sources - direct federal aid impact aid","State and Local ","136525"
"Annual Survey of School System Finance","Alaska","2018","FSDFAIA","Elementary-secondary education school system revenue from Federal sources - direct federal aid impact aid","State and Local ","173149"
"Annual Survey of School System Finance","Alaska","2012","FSDFATOT","Elementary-secondary education school system revenue from Federal sources - direct federal aid total","State and Local ","167342"
"Annual Survey of School System Finance","Alaska","2013","FSDFATOT","Elementary-secondary education school system revenue from Federal sources - direct federal aid total","State and Local ","167155"
"Annual Survey of School System Finance","Alaska","2014","FSDFATOT","Elementary-secondary education school system revenue from Federal sources - direct federal aid total","State and Local ","162610"
"Annual Survey of School System Finance","Alaska","2015","FSDFATOT","Elementary-secondary education school system revenue from Federal sources - direct federal aid total","State and Local ","188664"
"Annual Survey of School System Finance","Alaska","2016","FSDFATOT","Elementary-secondary education school system revenue from Federal sources - direct federal aid total","State and Local ","137871"
"Annual Survey of School System Finance","Alaska","2017","FSDFATOT","Elementary-secondary education school system revenue from Federal sources - direct federal aid total","State and Local ","171572"
"Annual Survey of School System Finance","Alaska","2018","FSDFATOT","Elementary-secondary education school system revenue from Federal sources - direct federal aid total","State and Local ","206952"
"Annual Survey of School System Finance","Alaska","2012","FSDSCN","Elementary-secondary education school system revenue from Federal sources - distributed through state child nutrition","State and Local ","38692"
"Annual Survey of School System Finance","Alaska","2013","FSDSCN","Elementary-secondary education school system revenue from Federal sources - distributed through state child nutrition","State and Local ","39695"
"Annual Survey of School System Finance","Alaska","2014","FSDSCN","Elementary-secondary education school system revenue from Federal sources - distributed through state child nutrition","State and Local ","40298"
"Annual Survey of School System Finance","Alaska","2015","FSDSCN","Elementary-secondary education school system revenue from Federal sources - distributed through state child nutrition","State and Local ","46057"
"Annual Survey of School System Finance","Alaska","2016","FSDSCN","Elementary-secondary education school system revenue from Federal sources - distributed through state child nutrition","State and Local ","47401"
"Annual Survey of School System Finance","Alaska","2017","FSDSCN","Elementary-secondary education school system revenue from Federal sources - distributed through state child nutrition","State and Local ","50806"
"Annual Survey of School System Finance","Alaska","2018","FSDSCN","Elementary-secondary education school system revenue from Federal sources - distributed through state child nutrition","State and Local ","52361"
"Annual Survey of School System Finance","Alaska","2012","FSDSON","Elementary-secondary education school system revenue from Federal sources - distributed through state other and nonspecified","State and Local ","60505"
