STATE,NAME,YRDATA,TOTALREV,TFEDREV,FEDRCOMP,FEDRSPEC,FEDRNUTR,FEDROTHR,TSTREV,STRFORM,STRSPEC,STRTRANS,STROTHR,TLOCREV,LOCRTAX,LOCRPROP,LOCRPAR,LOCRCICO,LOCROSCH,LOCRCHAR,LOCROTHR,TOTALEXP,TCURSPND,TSALWAGE,TEMPBENE,TCURINST,TCURISAL,TCURIBEN,TCURSSVC,TCURSPUP,TCURSSTA,TCURSGEN,TCURSSCH,TCURSOTH,TCURONON,TCAPOUT,TPAYOTH,TINTRST,DEBTOUT,LONGISSU,LONGRET,PCTTOTAL,PCTFTOT,PCTFCOMP,PCTSTOT,PCTSFORM,PCTLTOT,PCTLTAXP,PCTLOTHG,PCTLCHAR,PPCSTOT,PPSALWG,PPEMPBEN,PPITOTAL,PPISALWG,PPIEMBEN,PPSTOTAL,PPSPUPIL,PPSSTAFF,PPSGENAD,PPSSCHAD,DIVISION,REGION,MEAN INCOME
DE,BRANDYWINE SCHOOL DISTRICT,15,182879,9466,2035,2457,2690,2284,88366,80997,0,3143,4226,85047,75559,75559,0,0,99,1783,7606,170670,163924,91763,44953,97918,60953,30308,60144,6803,6120,1622,11473,34126,5862,1365,2893,2488,62668,0,5576,100.0,5.2,1.1,48.3,44.3,46.5,41.3,0.1,1.0,15170.0,8545.0,4186.0,9030.0,5676.0,2822,5601.0,633,570,151,1068,South Atlantic,South,97094
DE,CHRISTINA SCHOOL DISTRICT,15,318466,23671,7214,7242,6481,2734,133020,108883,539,13800,9798,161775,113798,113798,0,0,23942,913,23122,323297,292961,155958,80205,164291,103728,53183,118272,16166,3805,1862,16047,80392,10398,2194,26240,1902,45486,0,5372,100.0,7.4,2.3,41.8,34.2,50.8,35.7,7.5,0.3,17862.0,9601.0,4938.0,10008.0,6386.0,3274,7281.0,995,234,115,988,South Atlantic,South,77026
DE,COLONIAL SCHOOL DISTRICT,15,142501,12278,3242,2605,4618,1813,77943,69033,192,5083,3635,52280,49388,49388,0,0,0,683,2209,142438,135989,75590,38067,85083,52109,26993,43270,6424,1569,1491,10787,22999,7636,698,4029,1722,43497,0,3684,100.0,8.6,2.3,54.7,48.4,36.7,34.7,0.0,0.5,13873.0,7784.0,3920.0,8633.0,5366.0,2780,4456.0,662,162,154,1111,South Atlantic,South,75018
DE,RED CLAY CONSOLIDATED SCHOOL DISTRICT,15,296289,19823,7946,3592,6050,2235,160497,107286,1254,7206,44751,115969,94727,94727,0,0,3633,1781,15828,272805,234026,126225,62886,152869,90655,45062,70945,11826,5019,2134,15840,36126,10212,18086,18114,2579,123057,25115,5559,100.0,6.7,2.7,54.2,36.2,39.1,32.0,1.2,0.6,14216.0,7743.0,3858.0,9281.0,5561.0,2764,4352.0,725,308,131,972,South Atlantic,South,91907
DE,INDIAN RIVER SCHOOL DISTRICT,15,150081,9679,2720,1751,3676,1532,85963,72229,362,6385,6987,54439,39159,39159,0,0,7208,1155,6917,152623,135672,74788,35605,84463,53995,26397,43797,5028,2781,2062,7382,26544,7412,7228,8631,1092,34500,3096,2605,100.0,6.4,1.8,57.3,48.1,36.3,26.1,4.8,0.8,13898.0,7669.0,3651.0,8661.0,5537.0,2707,4491.0,516,285,211,757,South Atlantic,South,71668
DC,DISTRICT OF COLUMBIA PUBLIC SCHOOLS,15,1382282,146366,27631,12770,24534,81431,0,0,0,0,0,1235916,0,0,1210320,0,0,4524,21072,1360942,979040,622943,114731,557345,420580,77906,379854,35744,66594,100156,64460,112900,41841,381902,0,0,0,0,0,100.0,10.6,2.0,0.0,0.0,89.4,87.6,0.0,0.3,19396.0,13497.0,2486.0,10400.0,9112.0,1688,8230.0,774,1443,2170,1397,South Atlantic,South,114600
FL,ALACHUA COUNTY SCHOOL DISTRICT,15,272451,34881,9361,6734,10350,8436,119810,55111,9987,2322,52390,117760,103446,103083,0,0,69,11977,2268,269955,258293,146623,46257,140998,84223,25774,100021,14616,21763,3041,13128,47473,17274,9421,0,2241,72566,0,5009,100.0,12.8,3.4,44.0,20.2,43.2,38.0,0.0,4.4,8856.0,5111.0,1612.0,4915.0,2936.0,898,3486.0,509,759,106,458,South Atlantic,South,68428
FL,BAY COUNTY SCHOOL DISTRICT,15,268131,26772,6448,6409,7862,6053,103527,46556,15686,1947,39338,137832,120880,101316,0,0,0,12643,4309,278559,236469,124940,39308,149034,84741,24987,71726,9061,11183,2045,13550,35887,15709,38307,0,3783,115478,49065,57180,100.0,10.0,2.4,38.6,17.4,51.4,45.1,0.0,4.7,8347.0,4520.0,1422.0,5392.0,3066.0,904,2595.0,328,405,74,490,South Atlantic,South,63194
FL,BREVARD COUNTY SCHOOL DISTRICT,15,673236,76493,18717,17537,19351,20888,320008,146476,45854,6281,121397,276735,241341,221801,0,0,57,25957,9380,652911,605157,355654,102725,371080,229246,63251,201578,24142,49626,5282,36220,86308,32499,26740,0,21014,510831,163005,176234,100.0,11.4,2.8,47.5,21.8,41.1,35.8,0.0,3.9,8326.0,4920.0,1421.0,5134.0,3171.0,875,2789.0,334,687,73,501,South Atlantic,South,67688
FL,BROWARD COUNTY SCHOOL DISTRICT,15,2533814,285351,63361,52488,80077,89425,980286,424203,99824,14299,441960,1268177,1067157,1067157,0,0,571,117202,83247,2561097,2392726,1269263,382488,1461254,799126,234925,750382,116873,105513,17827,130535,379634,181090,83909,0,84462,1702164,163787,264193,100.0,11.3,2.5,38.7,16.7,50.1,42.1,0.0,4.6,8683.0,4767.0,1436.0,5488.0,3001.0,882,2818.0,439,396,67,490,South Atlantic,South,75859
FL,CHARLOTTE COUNTY SCHOOL DISTRICT,15,167847,21896,3487,4549,6350,7510,33202,8781,3479,585,20357,112749,100974,98799,0,0,0,10085,1690,171098,153195,88784,29598,84078,52597,16806,58178,8278,11352,1638,9452,27458,10939,14346,0,3557,66630,0,525,100.0,13.0,2.1,19.8,5.2,67.2,60.2,0.0,6.0,9357.0,5503.0,1834.0,5211.0,3260.0,1042,3606.0,513,704,102,586,South Atlantic,South,62168
FL,CITRUS COUNTY SCHOOL DISTRICT,15,140138,16193,4429,3716,4944,3104,55277,24952,6961,1722,21642,68668,60407,60407,0,0,6,6368,1887,144644,135228,83274,20863,76103,51457,12586,49597,5460,8418,1571,8273,25875,9528,8761,0,655,36381,0,3119,100.0,11.6,3.2,39.4,17.8,49.0,43.1,0.0,4.5,8740.0,5505.0,1379.0,5031.0,3402.0,832,3279.0,361,557,104,547,South Atlantic,South,54383
FL,COLLIER COUNTY SCHOOL DISTRICT,15,535471,53875,16842,10142,16087,10804,82222,13345,4162,711,64004,399374,362886,362886,0,0,0,17639,18849,534047,473959,268441,85134,280551,174593,54355,163787,18465,29000,3366,29918,83038,29621,42156,0,17932,388301,0,51181,100.0,10.1,3.1,15.4,2.5,74.6,67.8,0.0,3.3,10304.0,5935.0,1882.0,6203.0,3860.0,1202,3621.0,408,641,74,661,South Atlantic,South,101833
FL,COLUMBIA COUNTY SCHOOL DISTRICT,15,88282,11331,3212,2204,3644,2271,55504,30172,8811,1515,15006,21447,17710,17710,0,0,34,2813,890,87322,84533,49217,15247,48179,30403,9088,31122,4391,5759,1517,4565,14890,5232,1652,0,1137,23153,0,1518,100.0,12.8,3.6,62.9,34.2,24.3,20.1,0.0,3.2,8231.0,4833.0,1497.0,4731.0,2985.0,892,3056.0,431,565,149,448,South Atlantic,South,59931
FL,DUVAL COUNTY SCHOOL DISTRICT,15,1192999,149353,40520,33354,48586,26893,582384,299878,69853,11994,200659,461262,385004,381589,0,0,0,50119,26139,1216731,1116790,550401,187194,682054,382209,129320,376601,61697,66615,6805,57745,183739,58135,83420,0,16521,413327,50000,46533,100.0,12.5,3.4,48.8,25.1,38.7,32.3,0.0,4.2,8657.0,4277.0,1455.0,5300.0,2970.0,1005,2927.0,479,518,53,449,South Atlantic,South,69070
FL,FLAGLER COUNTY SCHOOL DISTRICT,15,123386,12942,3069,2143,4458,3272,44317,19750,5319,1196,18052,66127,57770,52718,0,0,76,4157,4124,123225,112607,67457,17910,65319,41291,10535,36613,7905,4501,1015,5245,17947,10675,8327,0,2291,68560,43870,44630,100.0,10.5,2.5,35.9,16.0,53.6,46.8,0.1,3.4,8430.0,5273.0,1400.0,5106.0,3228.0,823,2862.0,618,352,79,410,South Atlantic,South,62015
TN,HAMILTON COUNTY SCHOOL DISTRICT,15,18849,3916,863,1239,1235,579,8269,4089,1114,179,2887,6664,5717,5717,0,0,0,580,367,19230,18433,10092,2360,8211,5405,1160,8774,647,2196,882,891,4158,1448,790,0,7,160,0,45,100.0,20.8,4.6,43.9,21.7,35.4,30.3,0.0,3.1,10507.0,5773.0,1350.0,4697.0,3092.0,664,5019.0,370,1256,505,510,East South Central,South,68277
TN,HAMILTON COUNTY SCHOOL DISTRICT,15,420912,52188,17369,10127,17987,6705,136478,131620,0,0,4858,232246,0,0,200878,0,67,23097,8204,417029,403432,224298,86422,252159,160256,63114,127837,16837,24745,6848,24697,54710,23436,7371,0,6226,194379,71498,40553,100.0,12.4,4.1,32.4,31.3,55.2,47.7,0.0,5.5,9135.0,5121.0,1973.0,5757.0,3659.0,1441,2919.0,384,565,156,564,East South Central,South,68277
FL,HERNANDO COUNTY SCHOOL DISTRICT,15,196464,22701,6472,4491,8723,3015,103220,54450,13953,3163,31654,70543,62215,56798,0,0,64,6963,1301,200194,190734,116362,36551,112179,74237,22636,67388,9427,11328,1898,11449,33286,11167,3564,0,5896,135751,0,12161,100.0,11.6,3.3,52.5,27.7,35.9,31.7,0.0,3.5,8609.0,5268.0,1655.0,5078.0,3361.0,1025,3051.0,427,513,86,518,South Atlantic,South,55491
FL,HIGHLANDS COUNTY SCHOOL DISTRICT,15,116305,18124,6034,3503,6813,1774,56537,27368,7230,1656,20283,41644,34175,34175,0,0,0,4744,2725,116984,111756,61628,22930,62961,39560,13604,39495,5053,7681,1463,6377,18921,9300,2804,0,2424,53249,394,3890,100.0,15.6,5.2,48.6,23.5,35.8,29.4,0.0,4.1,9058.0,5024.0,1869.0,5133.0,3225.0,1109,3220.0,412,626,119,520,South Atlantic,South,53170
FL,HILLSBOROUGH COUNTY SCHOOL DISTRICT,15,2010077,299615,60746,47769,78485,112615,1022546,470747,120819,22470,408510,687916,558171,530555,0,0,0,59138,70607,2165489,2017344,1195920,316159,1171150,770623,196420,619965,84763,157221,13538,102680,261763,226229,104366,0,43779,1044177,6000,50633,100.0,14.9,3.0,50.9,23.4,34.2,27.8,0.0,2.9,9201.0,5764.0,1524.0,5645.0,3714.0,947,2988.0,409,758,65,495,South Atlantic,South,71783
FL,INDIAN RIVER COUNTY SCHOOL DISTRICT,15,181480,18862,4678,4523,6168,3493,42684,13768,3346,834,24736,119934,110498,109853,0,0,75,5376,3985,179158,156856,88116,22556,93979,54853,13830,54381,4531,11984,2362,7988,27516,8496,15666,0,6636,118587,0,8538,100.0,10.4,2.6,23.5,7.6,66.1,60.9,0.0,3.0,8636.0,4874.0,1248.0,5199.0,3034.0,765,3008.0,251,663,131,442,South Atlantic,South,79405
FL,LAKE COUNTY SCHOOL DISTRICT,15,376825,38548,10424,8955,14044,5125,181049,91574,22364,5122,61989,157228,135513,121120,0,0,7,10537,11171,373486,342533,183339,59125,202889,110400,33655,120593,17340,22607,2363,17535,60748,19051,19226,0,11727,267574,0,23725,100.0,10.2,2.8,48.0,24.3,41.7,36.0,0.0,2.8,8124.0,4349.0,1403.0,4813.0,2619.0,798,2861.0,411,536,56,416,South Atlantic,South,61504
